user_id,price,converted
0,19.99,0
1,19.99,1
2,19.99,0
3,19.99,0
4,19.99,0
5,19.99,0
6,19.99,0
7,19.99,0
8,19.99,0
9,19.99,0
10,19.99,0
11,19.99,1
12,19.99,0
13,19.99,0
14,19.99,0
15,19.99,0
16,19.99,0
17,19.99,0
18,19.99,0
19,19.99,0
20,19.99,0
21,19.99,0
22,19.99,0
23,19.99,0
24,19.99,0
25,19.99,0
26,19.99,0
27,19.99,0
28,19.99,0
29,19.99,0
30,19.99,0
31,19.99,0
32,19.99,0
33,19.99,1
34,19.99,1
35,19.99,0
36,19.99,0
37,19.99,0
38,19.99,0
39,19.99,0
40,19.99,0
41,19.99,0
42,19.99,0
43,19.99,1
44,19.99,0
45,19.99,0
46,19.99,0
47,19.99,0
48,19.99,0
49,19.99,0
50,19.99,1
51,19.99,0
52,19.99,1
53,19.99,0
54,19.99,0
55,19.99,1
56,19.99,0
57,19.99,0
58,19.99,0
59,19.99,0
60,19.99,0
61,19.99,0
62,19.99,0
63,19.99,0
64,19.99,0
65,19.99,0
66,19.99,0
67,19.99,0
68,19.99,0
69,19.99,1
70,19.99,0
71,19.99,0
72,19.99,0
73,19.99,0
74,19.99,0
75,19.99,0
76,19.99,0
77,19.99,0
78,19.99,0
79,19.99,0
80,19.99,0
81,19.99,0
82,19.99,0
83,19.99,0
84,19.99,0
85,19.99,0
86,19.99,0
87,19.99,0
88,19.99,0
89,19.99,0
90,19.99,0
91,19.99,0
92,19.99,0
93,19.99,0
94,19.99,0
95,19.99,0
96,19.99,0
97,19.99,0
98,19.99,0
99,19.99,0
100,19.99,0
101,19.99,0
102,19.99,0
103,19.99,0
104,19.99,1
105,19.99,0
106,19.99,0
107,19.99,0
108,19.99,0
109,19.99,0
110,19.99,0
111,19.99,0
112,19.99,1
113,19.99,0
114,19.99,0
115,19.99,0
116,19.99,0
117,19.99,0
118,19.99,0
119,19.99,0
120,19.99,0
121,19.99,0
122,19.99,0
123,19.99,0
124,19.99,0
125,19.99,0
126,19.99,0
127,19.99,0
128,19.99,0
129,19.99,0
130,19.99,0
131,19.99,0
132,19.99,0
133,19.99,0
134,19.99,1
135,19.99,0
136,19.99,0
137,19.99,0
138,19.99,0
139,19.99,1
140,19.99,1
141,19.99,0
142,19.99,0
143,19.99,0
144,19.99,0
145,19.99,0
146,19.99,0
147,19.99,0
148,19.99,0
149,19.99,0
150,19.99,1
151,19.99,0
152,19.99,0
153,19.99,0
154,19.99,1
155,19.99,0
156,19.99,0
157,19.99,0
158,19.99,0
159,19.99,0
160,19.99,0
161,19.99,0
162,19.99,0
163,19.99,0
164,19.99,0
165,19.99,0
166,19.99,0
167,19.99,0
168,19.99,0
169,19.99,0
170,19.99,0
171,19.99,0
172,19.99,0
173,19.99,0
174,19.99,0
175,19.99,0
176,19.99,0
177,19.99,0
178,19.99,1
179,19.99,0
180,19.99,0
181,19.99,0
182,19.99,1
183,19.99,0
184,19.99,0
185,19.99,0
186,19.99,0
187,19.99,0
188,19.99,0
189,19.99,0
190,19.99,0
191,19.99,0
192,19.99,1
193,19.99,0
194,19.99,0
195,19.99,0
196,19.99,0
197,19.99,0
198,19.99,0
199,19.99,0
200,19.99,0
201,19.99,0
202,19.99,0
203,19.99,0
204,19.99,0
205,19.99,0
206,19.99,0
207,19.99,0
208,19.99,0
209,19.99,0
210,19.99,0
211,19.99,0
212,19.99,0
213,19.99,0
214,19.99,0
215,19.99,0
216,19.99,0
217,19.99,0
218,19.99,0
219,19.99,0
